
1694413800371 :: history :: {'symbol': 'NSE:M&MFIN-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694413800955 :: {'s': 'ok', 'candles': [[1694403900, 304.55, 305.7, 301.1, 304.15, 579054], [1694407500, 304.15, 304.9, 303.9, 304.15, 270198], [1694411100, 304.05, 304.75, 304.0, 304.05, 98102]]}

1694413800966 :: history :: {'symbol': 'NSE:HAL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694413801397 :: {'s': 'ok', 'candles': [[1694403900, 4170.0, 4170.0, 4089.0, 4097.5, 338675], [1694407500, 4097.5, 4099.4, 4066.1, 4078.35, 137603], [1694411100, 4078.35, 4091.9, 4075.25, 4076.65, 51389]]}

1694413801403 :: history :: {'symbol': 'NSE:ABFRL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694413801810 :: {'s': 'ok', 'candles': [[1694403900, 230.85, 232.0, 230.0, 231.0, 684846], [1694407500, 231.2, 234.65, 231.0, 233.95, 1788399], [1694411100, 233.8, 234.45, 232.65, 233.55, 436298]]}

1694413801816 :: history :: {'symbol': 'NSE:TVSMOTOR-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694413802233 :: {'s': 'ok', 'candles': [[1694403900, 1484.6, 1495.85, 1480.55, 1484.75, 128716], [1694407500, 1484.75, 1487.0, 1483.75, 1484.5, 33536], [1694411100, 1484.5, 1486.95, 1476.05, 1484.75, 156183]]}

1694413802239 :: history :: {'symbol': 'NSE:PFC-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694413802696 :: {'s': 'ok', 'candles': [[1694403900, 309.9, 313.9, 302.8, 307.35, 13573346], [1694407500, 307.4, 309.65, 305.15, 305.85, 2819942], [1694411100, 305.85, 309.35, 305.35, 307.15, 1577195]]}

1694413802701 :: history :: {'symbol': 'NSE:BEL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694413803432 :: {'s': 'ok', 'candles': [[1694403900, 144.35, 147.15, 143.8, 144.7, 8049055], [1694407500, 144.75, 144.85, 143.05, 143.85, 3239836], [1694411100, 143.85, 144.7, 143.8, 144.4, 1659628]]}

1694413803440 :: history :: {'symbol': 'NSE:TRENT-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694413803830 :: {'s': 'ok', 'candles': [[1694403900, 2093.95, 2106.35, 2082.5, 2097.8, 71923], [1694407500, 2097.85, 2101.95, 2086.15, 2093.2, 56140], [1694411100, 2093.2, 2094.65, 2077.75, 2092.3, 179458]]}

1694413803838 :: history :: {'symbol': 'NSE:GMRINFRA-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694413804244 :: {'s': 'ok', 'candles': [[1694403900, 63.95, 64.35, 63.4, 63.45, 1732769], [1694407500, 63.5, 63.9, 63.4, 63.45, 786873], [1694411100, 63.45, 63.75, 63.45, 63.7, 731120]]}

1694413804251 :: history :: {'symbol': 'NSE:TATACHEM-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694413804650 :: {'s': 'ok', 'candles': [[1694403900, 1086.0, 1098.0, 1086.0, 1090.45, 115600], [1694407500, 1090.45, 1094.6, 1090.0, 1092.5, 40595], [1694411100, 1092.5, 1093.8, 1090.05, 1092.8, 42796]]}

1694413804656 :: history :: {'symbol': 'NSE:IRCTC-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694413805048 :: {'s': 'ok', 'candles': [[1694403900, 733.0, 733.4, 717.0, 726.4, 2329087], [1694407500, 726.4, 727.5, 721.0, 721.9, 573299], [1694411100, 721.9, 723.6, 719.15, 720.8, 327154]]}

1694413805055 :: history :: {'symbol': 'NSE:GRANULES-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694413805496 :: {'s': 'ok', 'candles': [[1694403900, 312.85, 317.35, 312.85, 316.35, 202721], [1694407500, 316.35, 317.75, 315.2, 315.5, 120126], [1694411100, 315.5, 316.0, 314.0, 314.95, 62787]]}

1694413805502 :: history :: {'symbol': 'NSE:AUROPHARMA-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694413805958 :: {'s': 'ok', 'candles': [[1694403900, 858.5, 870.95, 855.1, 863.3, 397380], [1694407500, 863.3, 864.55, 861.2, 861.55, 144775], [1694411100, 861.55, 868.95, 861.1, 866.95, 223627]]}

1694413805966 :: history :: {'symbol': 'NSE:EXIDEIND-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694413806383 :: {'s': 'ok', 'candles': [[1694403900, 276.8, 276.9, 274.25, 274.65, 403898], [1694407500, 274.75, 275.4, 274.45, 274.8, 222443], [1694411100, 274.95, 275.9, 274.8, 275.7, 112946]]}

1694414700936 :: history :: {'symbol': 'NSE:M&MFIN-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694414701467 :: {'s': 'ok', 'candles': [[1694403900, 304.55, 305.7, 301.1, 304.15, 579054], [1694407500, 304.15, 304.9, 303.9, 304.15, 270198], [1694411100, 304.05, 304.75, 303.85, 304.0, 207943]]}

1694414701485 :: history :: {'symbol': 'NSE:HAL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694414701870 :: {'s': 'ok', 'candles': [[1694403900, 4170.0, 4170.0, 4089.0, 4097.5, 338675], [1694407500, 4097.5, 4099.4, 4066.1, 4078.35, 137603], [1694411100, 4078.35, 4091.9, 4070.5, 4074.05, 64324]]}

1694414701876 :: history :: {'symbol': 'NSE:ABFRL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694414702253 :: {'s': 'ok', 'candles': [[1694403900, 230.85, 232.0, 230.0, 231.0, 684846], [1694407500, 231.2, 234.65, 231.0, 233.95, 1788399], [1694411100, 233.8, 234.45, 232.65, 233.5, 486970]]}

1694414702267 :: history :: {'symbol': 'NSE:TVSMOTOR-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694414702728 :: {'s': 'ok', 'candles': [[1694403900, 1484.6, 1495.85, 1480.55, 1484.75, 128716], [1694407500, 1484.75, 1487.0, 1483.75, 1484.5, 33536], [1694411100, 1484.5, 1489.8, 1476.05, 1489.5, 193647]]}

1694414702737 :: history :: {'symbol': 'NSE:PFC-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694414703155 :: {'s': 'ok', 'candles': [[1694403900, 309.9, 313.9, 302.8, 307.35, 13573346], [1694407500, 307.4, 309.65, 305.15, 305.85, 2819942], [1694411100, 305.85, 309.35, 305.35, 306.2, 2101322]]}

1694414703168 :: history :: {'symbol': 'NSE:BEL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694414703551 :: {'s': 'ok', 'candles': [[1694403900, 144.35, 147.15, 143.8, 144.7, 8049055], [1694407500, 144.75, 144.85, 143.05, 143.85, 3239836], [1694411100, 143.85, 144.7, 143.8, 144.35, 2018078]]}

1694414703574 :: history :: {'symbol': 'NSE:TRENT-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694414703962 :: {'s': 'ok', 'candles': [[1694403900, 2093.95, 2106.35, 2082.5, 2097.8, 71923], [1694407500, 2097.85, 2101.95, 2086.15, 2093.2, 56140], [1694411100, 2093.2, 2098.45, 2077.75, 2090.25, 218509]]}

1694414703968 :: history :: {'symbol': 'NSE:GMRINFRA-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694414704317 :: {'s': 'ok', 'candles': [[1694403900, 63.95, 64.35, 63.4, 63.45, 1732769], [1694407500, 63.5, 63.9, 63.4, 63.45, 786873], [1694411100, 63.45, 64.15, 63.45, 64.05, 1088783], [1694414700, 64.05, 64.05, 64.05, 64.05, 3493]]}

1694414704325 :: history :: {'symbol': 'NSE:TATACHEM-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694414704734 :: {'s': 'ok', 'candles': [[1694403900, 1086.0, 1098.0, 1086.0, 1090.45, 115600], [1694407500, 1090.45, 1094.6, 1090.0, 1092.5, 40595], [1694411100, 1092.5, 1093.8, 1090.05, 1092.65, 52695]]}

1694414704739 :: history :: {'symbol': 'NSE:IRCTC-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694414705093 :: {'s': 'ok', 'candles': [[1694403900, 733.0, 733.4, 717.0, 726.4, 2329087], [1694407500, 726.4, 727.5, 721.0, 721.9, 573299], [1694411100, 721.9, 723.6, 719.15, 721.85, 436232]]}

1694414705121 :: history :: {'symbol': 'NSE:GRANULES-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694414705528 :: {'s': 'ok', 'candles': [[1694403900, 312.85, 317.35, 312.85, 316.35, 202721], [1694407500, 316.35, 317.75, 315.2, 315.5, 120126], [1694411100, 315.5, 316.0, 314.0, 315.15, 74115], [1694414700, 314.95, 314.95, 314.95, 314.95, 7]]}

1694414705534 :: history :: {'symbol': 'NSE:AUROPHARMA-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694414705904 :: {'s': 'ok', 'candles': [[1694403900, 858.5, 870.95, 855.1, 863.3, 397380], [1694407500, 863.3, 864.55, 861.2, 861.55, 144775], [1694411100, 861.55, 868.95, 861.1, 867.85, 255343]]}

1694414705917 :: history :: {'symbol': 'NSE:EXIDEIND-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694414706313 :: {'s': 'ok', 'candles': [[1694403900, 276.8, 276.9, 274.25, 274.65, 403898], [1694407500, 274.75, 275.4, 274.45, 274.8, 222443], [1694411100, 274.95, 275.9, 274.8, 275.6, 158678], [1694414700, 275.35, 275.5, 275.35, 275.5, 850]]}

1694415608641 :: history :: {'symbol': 'NSE:M&MFIN-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694415609054 :: {'s': 'ok', 'candles': [[1694403900, 304.55, 305.7, 301.1, 304.15, 579054], [1694407500, 304.15, 304.9, 303.9, 304.15, 270198], [1694411100, 304.05, 304.75, 303.85, 304.0, 207943], [1694414700, 304.0, 304.5, 304.0, 304.25, 26240]]}

1694415609063 :: history :: {'symbol': 'NSE:HAL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694415609410 :: {'s': 'ok', 'candles': [[1694403900, 4170.0, 4170.0, 4089.0, 4097.5, 338675], [1694407500, 4097.5, 4099.4, 4066.1, 4078.35, 137603], [1694411100, 4078.35, 4091.9, 4070.5, 4074.05, 64324], [1694414700, 4072.55, 4076.75, 4067.0, 4067.0, 15079]]}

1694415609417 :: history :: {'symbol': 'NSE:ABFRL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694415609783 :: {'s': 'ok', 'candles': [[1694403900, 230.85, 232.0, 230.0, 231.0, 684846], [1694407500, 231.2, 234.65, 231.0, 233.95, 1788399], [1694411100, 233.8, 234.45, 232.65, 233.5, 486970], [1694414700, 233.55, 234.0, 233.5, 233.5, 78263]]}

1694415609820 :: history :: {'symbol': 'NSE:TVSMOTOR-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694415610301 :: {'s': 'ok', 'candles': [[1694403900, 1484.6, 1495.85, 1480.55, 1484.75, 128716], [1694407500, 1484.75, 1487.0, 1483.75, 1484.5, 33536], [1694411100, 1484.5, 1489.8, 1476.05, 1489.5, 193647], [1694414700, 1488.75, 1493.4, 1488.5, 1490.75, 33468]]}

1694415610308 :: history :: {'symbol': 'NSE:PFC-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694415610668 :: {'s': 'ok', 'candles': [[1694403900, 309.9, 313.9, 302.8, 307.35, 13573346], [1694407500, 307.4, 309.65, 305.15, 305.85, 2819942], [1694411100, 305.85, 309.35, 305.35, 306.2, 2101322], [1694414700, 306.1, 307.0, 305.45, 305.5, 348333]]}

1694415610674 :: history :: {'symbol': 'NSE:BEL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694415611036 :: {'s': 'ok', 'candles': [[1694403900, 144.35, 147.15, 143.8, 144.7, 8049055], [1694407500, 144.75, 144.85, 143.05, 143.85, 3239836], [1694411100, 143.85, 144.7, 143.8, 144.35, 2018078], [1694414700, 144.3, 144.6, 144.3, 144.5, 342275]]}

1694415611058 :: history :: {'symbol': 'NSE:TRENT-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694415611415 :: {'s': 'ok', 'candles': [[1694403900, 2093.95, 2106.35, 2082.5, 2097.8, 71923], [1694407500, 2097.85, 2101.95, 2086.15, 2093.2, 56140], [1694411100, 2093.2, 2098.45, 2077.75, 2090.25, 218509], [1694414700, 2090.25, 2091.5, 2086.25, 2087.4, 13450]]}

1694415611420 :: history :: {'symbol': 'NSE:GMRINFRA-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694415611786 :: {'s': 'ok', 'candles': [[1694403900, 63.95, 64.35, 63.4, 63.45, 1732769], [1694407500, 63.5, 63.9, 63.4, 63.45, 786873], [1694411100, 63.45, 64.15, 63.45, 64.05, 1088783], [1694414700, 64.05, 64.7, 63.9, 64.2, 1065974]]}

1694415611808 :: history :: {'symbol': 'NSE:TATACHEM-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694415612164 :: {'s': 'ok', 'candles': [[1694403900, 1086.0, 1098.0, 1086.0, 1090.45, 115600], [1694407500, 1090.45, 1094.6, 1090.0, 1092.5, 40595], [1694411100, 1092.5, 1093.8, 1090.05, 1092.65, 52695], [1694414700, 1092.3, 1092.8, 1091.3, 1091.75, 14663]]}

1694415612170 :: history :: {'symbol': 'NSE:IRCTC-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694415612534 :: {'s': 'ok', 'candles': [[1694403900, 733.0, 733.4, 717.0, 726.4, 2329087], [1694407500, 726.4, 727.5, 721.0, 721.9, 573299], [1694411100, 721.9, 723.6, 719.15, 721.85, 436232], [1694414700, 721.85, 722.15, 719.5, 719.85, 69941]]}

1694415612554 :: history :: {'symbol': 'NSE:GRANULES-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694415612907 :: {'s': 'ok', 'candles': [[1694403900, 312.85, 317.35, 312.85, 316.35, 202721], [1694407500, 316.35, 317.75, 315.2, 315.5, 120126], [1694411100, 315.5, 316.0, 314.0, 315.15, 74115], [1694414700, 314.95, 315.1, 314.5, 314.7, 16614]]}

1694415612912 :: history :: {'symbol': 'NSE:AUROPHARMA-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694415613279 :: {'s': 'ok', 'candles': [[1694403900, 858.5, 870.95, 855.1, 863.3, 397380], [1694407500, 863.3, 864.55, 861.2, 861.55, 144775], [1694411100, 861.55, 868.95, 861.1, 867.85, 255343], [1694414700, 867.85, 867.85, 865.3, 865.55, 38606]]}

1694415613306 :: history :: {'symbol': 'NSE:EXIDEIND-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-09-11', 'range_to': '2023-09-11', 'cont_flag': '1'} :: 1694415613678 :: {'s': 'ok', 'candles': [[1694403900, 276.8, 276.9, 274.25, 274.65, 403898], [1694407500, 274.75, 275.4, 274.45, 274.8, 222443], [1694411100, 274.95, 275.9, 274.8, 275.6, 158678], [1694414700, 275.35, 275.65, 275.05, 275.25, 43813]]}

