
1701941844068 :: history :: {'symbol': 'NSE:APOLLOTYRE-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941844626 :: {'s': 'error', 'code': -300, 'message': ''}

1701941845136 :: history :: {'symbol': 'NSE:ASTRAL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941845405 :: {'s': 'error', 'code': -300, 'message': ''}

1701941845924 :: history :: {'symbol': 'NSE:ABFRL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941846124 :: {'s': 'error', 'code': -300, 'message': ''}

1701941846657 :: history :: {'symbol': 'NSE:ALKEM-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941846861 :: {'s': 'error', 'code': -300, 'message': ''}

1701941847374 :: history :: {'symbol': 'NSE:AARTIIND-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941847608 :: {'s': 'error', 'code': -300, 'message': ''}

1701941848128 :: history :: {'symbol': 'NSE:ABB-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941848330 :: {'s': 'error', 'code': -300, 'message': ''}

1701941848863 :: history :: {'symbol': 'NSE:BEL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941849112 :: {'s': 'error', 'code': -300, 'message': ''}

1701941849631 :: history :: {'symbol': 'NSE:AUBANK-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941849841 :: {'s': 'error', 'code': -300, 'message': ''}

1701941850371 :: history :: {'symbol': 'NSE:BAJFINANCE-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941850630 :: {'s': 'error', 'code': -300, 'message': ''}

1701941851169 :: history :: {'symbol': 'NSE:BATAINDIA-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941851482 :: {'s': 'error', 'code': -300, 'message': ''}

1701941852015 :: history :: {'symbol': 'NSE:BERGEPAINT-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941852219 :: {'s': 'error', 'code': -300, 'message': ''}

1701941852760 :: history :: {'symbol': 'NSE:ASHOKLEY-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941852961 :: {'s': 'error', 'code': -300, 'message': ''}

