Fytoken,Symbol Details,Tick size,ISIN,NSE_SYMBOL,SYMBOL
10100000001,GOLDSTAR POWER LIMITED,0.05,INE405Y01021,NSE:GOLDSTAR-SM,GOLDSTAR
1010000000100,AMARA RAJA ENERGY MOB LTD,0.05,INE885A01032,NSE:ARE&M-EQ,ARE&M
10100000001000,SDL MH 6.56% 2032,0.01,IN2220200306,NSE:656MH32-SG,656MH32
10100000001001,SEC RED NCD 9.40% SR. V,0.01,INE721A07NX5,NSE:SHRIRAMFIN-YL,SHRIRAMFIN
10100000001004,SDL AP 6.79% 2034,0.01,IN1020200466,NSE:679AP34-SG,679AP34
101000000010046,GOI LOAN 7.57% 2033,0.01,IN0020190065,NSE:757GS2033-GS,757GS2033
101000000010051,SBIAMC - SFMP6DD,0.01,INF200KA1F35,NSE:SFMP6DD-MF,SFMP6DD
101000000010052,SBIAMC - SFMP6DR,0.01,INF200KA1F19,NSE:SFMP6DR-MF,SFMP6DR
101000000010055,SBIAMC - SFMP6GD,0.01,INF200KA1F27,NSE:SFMP6GD-MF,SFMP6GD
10100000001006,SDL KA 6.75% 2035,0.01,IN1920200384,NSE:675KA35-SG,675KA35
101000000010060,SBIAMC - SFMP6GR,0.01,INF200KA1F01,NSE:SFMP6GR-MF,SFMP6GR
10100000001007,SDL PN 6.79% 2035,0.01,IN2820200144,NSE:679PN35-SG,679PN35
101000000010074,EMAMI PAPER MILLS LIMITED,0.05,INE830C01026,NSE:EMAMIPAP-EQ,EMAMIPAP
10100000001008,FACT LTD,0.05,INE188A01015,NSE:FACT-EQ,FACT
10100000001009,SDL JK 6.8% 2035,0.01,IN4920200107,NSE:68JK35-SG,68JK35
101000000010097,GUJARAT RAFFIA INDUST LTD,0.05,INE610B01024,NSE:GUJRAFFIA-BE,GUJRAFFIA
101000000010099,GODREJ CONSUMER PRODUCTS,0.05,INE102D01028,NSE:GODREJCP-EQ,GODREJCP
10100000001011,SCHAEFFLER INDIA LIMITED,0.05,INE513A01022,NSE:SCHAEFFLER-EQ,SCHAEFFLER
101000000010115,CORAL INDIA FIN & HOUS LT,0.05,INE558D01021,NSE:CORALFINAC-BE,CORALFINAC
10100000001012,SDL MP 6.76% 2040,0.01,IN2120200208,NSE:676MP40-SG,676MP40
10100000001015,SDL WB 6.88% 2040,0.01,IN3420200146,NSE:688WB40-SG,688WB40
101000000010159,ORICON ENTERPRISES LTD,0.05,INE730A01022,NSE:ORICONENT-EQ,ORICONENT
101000000010176,SBI-ETF NIFTY 50,0.01,INF200KA1FS1,NSE:SETFNIF50-EQ,SETFNIF50
10100000001018,SDL TS 6.8% 2050,0.01,IN4520200200,NSE:68TS50-SG,68TS50
101000000010185,BALKRISHNA PAPER MILLS L,0.05,INE875R01011,NSE:BALKRISHNA-BE,BALKRISHNA
101000000010190,SDL TN 7.81% 2052,0.01,IN3120220055,NSE:781TN52-SG,781TN52
101000000010192,SHYAM CENTURY FERROUS LTD,0.05,INE979R01011,NSE:SHYAMCENT-BE,SHYAMCENT
101000000010195,SDL AS 7.53% 2027,0.01,IN1220220025,NSE:753AS27-SG,753AS27
101000000010196,SDL GJ 7.82% 2032,0.01,IN1520220030,NSE:782GJ32-SG,782GJ32
101000000010197,SDL AS 7.85% 2032,0.01,IN1220220033,NSE:785AS32-SG,785AS32
101000000010198,SDL MP 7.85% 2032,0.01,IN2120220016,NSE:785MP32-SG,785MP32
101000000010201,ICICI-MULTI-6-3000-2026,0.01,INE090A08SP8,NSE:ICICI-M1,ICICI
101000000010202,SDL HR 7.86% 2032,0.01,IN1620220112,NSE:786HR32-SG,786HR32
101000000010203,SDL AP 7.93% 2033,0.01,IN1020220233,NSE:793AP33-SG,793AP33
101000000010204,SDL TS 7.93% 2034,0.01,IN4520220026,NSE:793TS34-SG,793TS34
101000000010205,SDL HR 7.94% 2034,0.01,IN1620220120,NSE:794HR34-SG,794HR34
101000000010206,SDL AP 7.94% 2034,0.01,IN1020220241,NSE:794AP34-SG,794AP34
101000000010207,SDL TS 7.93% 2035,0.01,IN4520220034,NSE:793TS35-SG,793TS35
101000000010212,SDL TS 7.94% 2036,0.01,IN4520220042,NSE:794TS36-SG,794TS36
101000000010213,SDL WB 7.96% 2037,0.01,IN3420220037,NSE:796WB37-SG,796WB37
101000000010214,SDL AP 7.95% 2038,0.01,IN1020220258,NSE:795AP38-SG,795AP38
101000000010215,SDL AP 7.95% 2039,0.01,IN1020220266,NSE:795AP39-SG,795AP39
