Sr. No,Symbol,Company Name,MarketCap
1,RELIANCE,Reliance Industries Limited,174889555
2,TCS,Tata Consultancy Services Limited,137248532
3,HDFCBANK,HDFC Bank Limited,129740454
4,ICICIBANK,ICICI Bank Limited,69902441
5,INFY,Infosys Limited,64037071
6,HINDUNILVR,Hindustan Unilever Limited,62591936
7,BHARTIARTL,Bharti Airtel Limited,58028012
8,ITC,ITC Limited,57649788
9,SBIN,State Bank of India,57300471
10,LICI,Life Insurance Corporation Of India,52655606
11,LT,Larsen & Toubro Limited,48466574
12,BAJFINANCE,Bajaj Finance Limited,45287186
13,HCLTECH,HCL Technologies Limited,39785044
14,KOTAKBANK,Kotak Mahindra Bank Limited,37924093
15,AXISBANK,Axis Bank Limited,33991569
16,ASIANPAINT,Asian Paints Limited,32635746
17,TITAN,Titan Company Limited,32630136
18,ADANIENT,Adani Enterprises Limited,32478062
19,MARUTI,Maruti Suzuki India Limited,32390854
20,ULTRACEMCO,UltraTech Cement Limited,30320906
21,SUNPHARMA,Sun Pharmaceutical Industries Limited,30218424
22,NTPC,NTPC Limited,30171177
23,BAJAJFINSV,Bajaj Finserv Limited,26896750
24,DMART,Avenue Supermarts Limited,26567154
25,TATAMOTORS,Tata Motors Limited,25916546
26,ONGC,Oil & Natural Gas Corporation Limited,25795863
27,NESTLEIND,Nestle India Limited,25627587
28,ADANIGREEN,Adani Green Energy Limited,25296999
29,WIPRO,Wipro Limited,24621823
30,COALINDIA,Coal India Limited,23171859
31,ADANIPORTS,Adani Ports and Special Economic Zone Limited,22127383
32,POWERGRID,Power Grid Corporation of India Limited,22061032
33,JSWSTEEL,JSW Steel Limited,21526109
34,M&M,Mahindra & Mahindra Limited,21505588
35,ADANIPOWER,Adani Power Limited,20254715
36,BAJAJ-AUTO,Bajaj Auto Limited,19233319
37,HAL,Hindustan Aeronautics Limited,18752451
38,LTIM,LTIMindtree Limited,18627749
39,IOC,Indian Oil Corporation Limited,18336428
40,DLF,DLF Limited,17980688
41,TATASTEEL,Tata Steel Limited,17167077
42,VBL,Varun Beverages Limited,16069990
43,JIOFIN,Jio Financial Services Limited,14799976
44,SBILIFE,SBI Life Insurance Company Limited,14343767
45,SIEMENS,Siemens Limited,14332772
46,GRASIM,Grasim Industries Limited,14056565
47,HDFCLIFE,HDFC Life Insurance Company Limited,13908316
48,HINDALCO,Hindalco Industries Limited,13817011
49,PIDILITIND,Pidilite Industries Limited,13809216
50,BEL,Bharat Electronics Limited,13464613
51,HINDZINC,Hindustan Zinc Limited,13438627
52,IRFC,Indian Railway Finance Corporation Limited,12983561
53,BRITANNIA,Britannia Industries Limited,12858634
54,PFC,Power Finance Corporation Limited,12626189
55,INDUSINDBK,IndusInd Bank Limited,12435549
56,TECHM,Tech Mahindra Limited,12421248
57,BANKBARODA,Bank of Baroda,11951018
58,ADANIENSOL,Adani Energy Solutions Limited,11665265
59,GODREJCP,Godrej Consumer Products Limited,11570144
60,INDIGO,InterGlobe Aviation Limited,11451378
61,EICHERMOT,Eicher Motors Limited,11343888
62,RECLTD,REC Limited,10871265
63,ATGL,Adani Total Gas Limited,10865574
64,TRENT,Trent Limited,10859964
65,ZOMATO,Zomato Limited,10775403
66,GAIL,GAIL (India) Limited,10658237
67,TATAPOWER,Tata Power Company Limited,10613320
68,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,10577710
69,PNB,Punjab National Bank,10543047
70,DIVISLAB,Divi's Laboratories Limited,10363628
71,AMBUJACEM,Ambuja Cements Limited,10343226
72,SHREECEM,SHREE CEMENT LIMITED,10338325
73,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,10096499
74,CIPLA,Cipla Limited,10062008
75,ABB,ABB India Limited,9906399
76,DABUR,Dabur India Limited,9873790
77,LODHA,Macrotech Developers Limited,9871488
78,BPCL,Bharat Petroleum Corporation Limited,9775737
79,DRREDDY,Dr. Reddy's Laboratories Limited,9671442
80,TVSMOTOR,TVS Motor Company Limited,9624315
81,VEDL,Vedanta Limited,9610837
82,UNIONBANK,Union Bank of India,8828226
